RULING,RULING_DATE,Found_HTS8,brief_description
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351309,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351309,7/23/25,9903.01.25,
NY N351321,7/23/25,9903.01.24,
NY N351321,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351321,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351321,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351321,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N351321,7/23/25,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
